Name,MC_USD_Billion,MC_GBP_Billion,MC_EUR_Billion,MC_INR_Billion
Industrial and Commercial Bank of China Limited,5536.53,4429.22,5148.97,459255.16
China Construction Bank,4762.46,3809.97,4429.09,395046.06
Agricultural Bank of China,4575.95,3660.76,4255.63,379575.05
Bank of China,4206.53,3365.22,3912.07,348931.66
JPMorgan Chase,3743.57,2994.86,3481.52,310529.13
Mitsubishi UFJ Financial Group,3176.84,2541.47,2954.46,263518.88
Bank of America,3169.5,2535.6,2947.64,262910.03
HSBC,2953.64,2362.91,2746.89,245004.44
BNP Paribas,2905.83,2324.66,2702.42,241038.6
Crédit Agricole,2674.35,2139.48,2487.15,221837.33
Citigroup Inc.,2291.41,1833.13,2131.01,190072.46
SMBC Group,2176.94,1741.55,2024.55,180577.17
Japan Post Bank,1998.98,1599.18,1859.05,165815.39
Postal Savings Bank of China,1981.53,1585.22,1842.82,164367.91
Mizuho Financial Group,1957.87,1566.3,1820.82,162405.32
Wells Fargo,1948.07,1558.46,1811.71,161592.41
Barclays,1874.4,1499.52,1743.19,155481.48
Bank of Communications,1836.38,1469.1,1707.83,152327.72
Banco Santander,1814.9,1451.92,1687.86,150545.96
Groupe BPCE,1724.12,1379.3,1603.43,143015.75
Société Générale,1665.47,1332.38,1548.89,138150.74
Deutsche Bank,1505.74,1204.59,1400.34,124901.13
Toronto-Dominion Bank,1486.4,1189.12,1382.35,123296.88
Goldman Sachs,1463.99,1171.19,1361.51,121437.97
China Merchants Bank,1455.94,1164.75,1354.02,120770.22
Royal Bank of Canada,1376.79,1101.43,1280.41,114204.73
Industrial Bank (China),1354.25,1083.4,1259.45,112335.04
China CITIC Bank,1266.08,1012.86,1177.45,105021.34
Shanghai Pudong Development Bank,1251.38,1001.1,1163.78,103801.97
Crédit Mutuel,1249.36,999.49,1161.9,103634.41
Intesa Sanpaolo,1215.74,972.59,1130.64,100845.63
Lloyds Banking Group,1200.41,960.33,1116.38,99574.01
Morgan Stanley,1188.14,950.51,1104.97,98556.21
UBS,1117.18,893.74,1038.98,92670.08
China Minsheng Bank,1094.48,875.58,1017.87,90787.12
ING Group,1081.87,865.5,1006.14,89741.12
NatWest Group,1058.86,847.09,984.74,87832.44
UniCredit,1042.5,834.0,969.53,86475.38
Scotiabank,978.48,782.78,909.99,81164.92
China Everbright Bank,929.08,743.26,864.04,77067.19
Norinchukin Bank,927.77,742.22,862.83,76958.52
Bank of Montreal,908.62,726.9,845.02,75370.03
La Banque postale,878.32,702.66,816.84,72856.64
Commonwealth Bank,836.05,668.84,777.53,69350.35
Credit Suisse,829.12,663.3,771.08,68775.5
Standard Chartered,827.82,662.26,769.87,68667.67
Banco Bilbao Vizcaya Argentaria,818.21,654.57,760.94,67870.52
Ping An Bank,774.7,619.76,720.47,64261.37
CaixaBank,773.38,618.7,719.24,64151.87
Rabobank,727.37,581.9,676.45,60335.34
DZ Bank,713.38,570.7,663.44,59174.87
Australia and New Zealand Banking Group,709.01,567.21,659.38,58812.38
State Bank of India,694.9,555.92,646.26,57641.96
Westpac,677.88,542.3,630.43,56230.15
Canadian Imperial Bank of Commerce,676.95,541.56,629.56,56153.0
National Australia Bank,670.7,536.56,623.75,55634.56
Resona Holdings,662.32,529.86,615.96,54939.44
Nordea,648.64,518.91,603.24,53804.69
Danske Bank,602.01,481.61,559.87,49936.73
U.S. Bancorp,573.28,458.62,533.15,47553.58
KB Financial Group Inc,557.35,445.88,518.34,46232.18
PNC Financial Services,557.19,445.75,518.19,46218.91
Sumitomo Mitsui Trust Holdings,553.87,443.1,515.1,45943.52
Huaxia Bank,550.75,440.6,512.2,45684.71
Sberbank of Russia,548.58,438.86,510.18,45504.71
Shinhan Bank,544.14,435.31,506.05,45136.41
Truist Financial Corp,541.24,432.99,503.35,44895.86
Commerzbank,536.65,429.32,499.08,44515.12
DBS Bank,508.89,407.11,473.27,42212.43
China Guangfa Bank,493.36,394.69,458.82,40924.21
Bank of Beijing,474.36,379.49,441.15,39348.16
ABN AMRO,453.9,363.12,422.13,37651.0
The Bank of New York Mellon,444.44,355.55,413.33,36866.3
Capital One,432.38,345.9,402.11,35865.92
Nonghyup Bank,425.58,340.46,395.79,35301.86
Hana Financial Group,421.81,337.45,392.28,34989.14
Bank of Shanghai,411.53,329.22,382.72,34136.41
OCBC Bank,402.16,321.73,374.01,33359.17
Bank of Jiangsu,400.75,320.6,372.7,33242.21
KBC Bank,393.17,314.54,365.65,32613.45
Nomura Holdings,392.71,314.17,365.22,32575.29
Nationwide Building Society,385.4,308.32,358.42,31968.93
Woori Bank,375.42,300.34,349.14,31141.09
Itaú Unibanco,371.38,297.1,345.38,30805.97
Handelsbanken,370.13,296.1,344.22,30702.28
SEB Group,365.43,292.34,339.85,30312.42
China Zheshang Bank,359.97,287.98,334.77,29859.51
Erste Group,350.96,280.77,326.39,29112.13
DNB ASA,342.97,274.38,318.96,28449.36
Banco do Brasil,340.89,272.71,317.03,28276.83
United Overseas Bank,340.7,272.56,316.85,28261.06
Industrial Bank of Korea,334.19,267.35,310.8,27721.06
Landesbank Baden-Württemberg,321.05,256.84,298.58,26631.1
State Street Corporation,314.62,251.7,292.6,26097.73
Desjardins Group,313.78,251.02,291.82,26028.05
Raiffeisen Gruppe,312.07,249.66,290.23,25886.21
Swedbank,304.2,243.36,282.91,25233.39
Bayerische Landesbank,303.14,242.51,281.92,25145.46
Banco Bradesco,300.73,240.58,279.68,24945.55
Qatar National Bank,300.24,240.19,279.22,24904.91
